session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157757,2025-05-06T18:51:12Z,male,19,ZA,black,Black,tablet
157758,2025-05-06T19:10:43Z,male,36,US,white,White,desktop
157759,2025-05-06T18:54:30Z,male,30,ZA,black,Black,phone
157760,2025-05-06T18:53:40Z,male,27,IT,white,White,laptop
157761,2025-05-06T18:54:17Z,female,27,ZA,black,Black,desktop
157762,2025-05-06T18:53:08Z,male,25,GB,white,White,laptop
157763,2025-05-06T18:54:12Z,male,30,ZA,black,Black,desktop
157764,2025-05-06T18:54:36Z,male,23,US,black american,Black,laptop
157765,2025-05-06T18:57:28Z,male,30,ZA,coloured,Black,desktop
157766,2025-05-06T19:02:47Z,male,66,US,white,White,desktop
157767,2025-05-06T19:08:30Z,male,27,US,white,White,desktop
157768,2025-05-06T18:47:00Z,male,35,DE,white,White,laptop
157770,2025-05-06T18:53:57Z,female,21,ZA,black,Black,phone
157771,2025-05-06T18:58:58Z,female,32,ZA,african,Black,laptop
157772,2025-05-06T19:14:20Z,female,28,ZA,african,Black,laptop
157773,2025-05-06T18:53:19Z,male,29,PT,white,White,desktop
157777,2025-05-06T18:53:38Z,male,23,PL,white,White,desktop
157778,2025-05-06T18:56:07Z,female,76,US,white,White,laptop
157780,2025-05-06T18:51:03Z,female,32,US,european american,White,laptop
157782,2025-05-06T18:56:15Z,female,21,ZA,black,Black,desktop
157783,2025-05-06T18:52:53Z,female,37,GB,white & asian,Mixed,laptop
157784,2025-05-06T18:58:58Z,male,37,ZA,black,Black,laptop
157785,2025-05-06T18:52:01Z,male,23,US,black,Black,laptop
157786,2025-05-06T19:12:07Z,male,22,ZA,black african,Black,laptop
157787,2025-05-06T18:56:32Z,male,38,HU,white,White,desktop
157788,2025-05-06T18:54:24Z,female,22,ZA,black,Black,laptop
157791,2025-05-06T18:58:18Z,male,35,ES,white/spanish,White,desktop
157793,2025-05-06T18:54:19Z,female,48,GB,white/british,White,laptop
157795,2025-05-06T18:57:12Z,male,36,US,white,White,desktop
157797,2025-05-06T19:02:02Z,female,23,ZA,black,Black,phone
